C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_13_493.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_13_493.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_13_493.jpg, 0, 0, 0, 8.126506E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_13_594.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_13_594.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_13_594.jpg, 0, 0, 0, 7.808574E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_13_696.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_13_696.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_13_696.jpg, 0, 0, 0, 8.018382E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_13_796.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_13_796.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_13_796.jpg, 0, 0, 0, 8.078711E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_13_897.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_13_897.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_13_897.jpg, 0, 0, 0, 8.001787E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_13_998.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_13_998.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_13_998.jpg, 0, 0, 0, 7.820864E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_14_098.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_14_098.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_14_098.jpg, 0, 0, 0, 7.963723E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_14_199.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_14_199.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_14_199.jpg, 0, 0, 0, 8.027884E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_14_301.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_14_301.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_14_301.jpg, 0, 0, 0, 7.797289E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_14_401.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_14_401.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_14_401.jpg, 0, 0, 0, 7.879836E-05
C:\CVT\Projects\Behavorial_Cloning\Data\IMG\center_2023_02_14_16_05_14_501.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\left_2023_02_14_16_05_14_501.jpg, C:\CVT\Projects\Behavorial_Cloning\Data\IMG\right_2023_02_14_16_05_14_501.jpg, 0, 0, 0, 7.814111E-05
